"","x1","x2","y"
"1",0.829612086992711,-0.726989583577961,"1"
"2",0.874150826595724,-0.645727177150548,"1"
"3",-0.427720930427313,0.0391209009103477,"-1"
"4",0.660895252134651,0.622241570148617,"1"
"5",0.283491037786007,-0.769275974947959,"1"
"6",0.0381918982602656,0.786843573208898,"1"
"7",0.473176629282534,0.150705762207508,"-1"
"8",-0.730666805524379,-0.706855211406946,"1"
"9",0.313984580803663,0.805611592717469,"1"
"10",0.410129568073899,-0.493995061144233,"-1"
"11",-0.0845164475031197,-0.698804799467325,"1"
"12",0.438224503304809,0.53709431970492,"-1"
"13",0.869344494305551,-0.539753337856382,"1"
"14",-0.489142351318151,-0.389201343990862,"-1"
"15",-0.0754143549129367,0.0371392243541777,"-1"
"16",0.880029045511037,-0.330800666473806,"1"
"17",0.956452856771648,-0.69113006349653,"1"
"18",-0.765025276690722,-0.467260862700641,"1"
"19",-0.0500058368779719,-0.298490766435862,"-1"
"20",0.120665492489934,0.156916757579893,"-1"
"21",0.808062774594873,0.617203590460122,"1"
"22",-0.722579664550722,0.866540629882365,"1"
"23",0.977783457841724,0.66772667504847,"1"
"24",0.89333646511659,-0.745994450990111,"1"
"25",-0.835124883800745,0.298907903023064,"1"
"26",0.0284235686995089,0.380703315138817,"-1"
"27",-0.219593065790832,-0.93591035110876,"1"
"28",0.811476261820644,0.840978299733251,"1"
"29",-0.10606074379757,-0.0430622259154916,"-1"
"30",0.672008519992232,-0.466958843171597,"1"
"31",0.475191235542297,0.713021432515234,"1"
"32",0.622110282536596,-0.54170704446733,"1"
"33",-0.22378343436867,0.58389374660328,"-1"
"34",0.370339458808303,0.293549720663577,"-1"
"35",-0.992103322409093,-0.151330618653446,"1"
"36",0.665832160506397,-0.809863463975489,"1"
"37",-0.985331706237048,-0.993064592126757,"1"
"38",-0.584682054352015,0.0622673379257321,"-1"
"39",0.813202815596014,0.0486142318695784,"1"
"40",0.223557286895812,-0.573628890793771,"-1"
"41",-0.240881518926471,0.433864159975201,"-1"
"42",-0.128456830047071,0.922687152400613,"1"
"43",-0.925137934274971,0.0365331992506981,"1"
